source,source_record_id,doi,title,journal,issn,eissn,received_date,accepted_date,published_date,review_days,production_days,total_days,evidence_url,harvested_at
pubmed,42060708,10.1371/journal.pone.0347324,A multi-modal deep learning framework with GAN-based fusion for enhanced landslide detection.,PloS one,1932-6203,,2025-12-31,2026-03-31,2026-04-30,90,30,120,https://pubmed.ncbi.nlm.nih.gov/42060708/,2026-05-02
pubmed,42060706,10.1371/journal.pone.0344163,"Exclusive breast feeding practice and associated factors among Rural and Urban mothers of child aged 0-6 months in Tahtay Maichew District of Tigray, Ethiopia, 2023/2024: Comparative cross sectional study.",PloS one,1932-6203,,2025-08-07,2026-02-17,2026-04-30,194,72,266,https://pubmed.ncbi.nlm.nih.gov/42060706/,2026-05-02
pubmed,42060704,10.1371/journal.pone.0344971,A robust multi-location evaluation of a machine learning framework for wind power forecasting.,PloS one,1932-6203,,2025-08-24,2026-02-27,2026-04-30,187,62,249,https://pubmed.ncbi.nlm.nih.gov/42060704/,2026-05-02
pubmed,42060696,10.1371/journal.pone.0337786,The cost of dual-task walking: Cognitive demands restrict gaze behaviour and gait planning.,PloS one,1932-6203,,2025-11-19,2026-04-15,2026-04-30,147,15,162,https://pubmed.ncbi.nlm.nih.gov/42060696/,2026-05-02
pubmed,42060692,10.1371/journal.pone.0347296,Quantum cryptanalysis of ultralightweight mutual authentication protocols: A Grover's search model.,PloS one,1932-6203,,2025-07-16,2026-03-31,2026-04-30,258,30,288,https://pubmed.ncbi.nlm.nih.gov/42060692/,2026-05-02
pubmed,42060688,10.1371/journal.pone.0346008,The use of digital technology in non-pharmacological cognitive and psychosocial interventions for people with dementia and mild cognitive impairment: A scoping review.,PloS one,1932-6203,,2025-01-24,2026-03-13,2026-04-30,413,48,461,https://pubmed.ncbi.nlm.nih.gov/42060688/,2026-05-02
pubmed,42060687,10.1371/journal.pone.0347850,Multivariate analysis for agro-morphological and quality traits in groundnut (Arachis hypogaea L.) genotypes in Eastern Ethiopia.,PloS one,1932-6203,,2026-01-06,2026-04-08,2026-04-30,92,22,114,https://pubmed.ncbi.nlm.nih.gov/42060687/,2026-05-02
pubmed,42060686,10.1371/journal.pone.0346979,Collectivism and meaning-making: A search for moderators.,PloS one,1932-6203,,2025-06-12,2026-03-26,2026-04-30,287,35,322,https://pubmed.ncbi.nlm.nih.gov/42060686/,2026-05-02
pubmed,42060685,10.1371/journal.pone.0347122,"Periodicity in Steller's eider (Polysticta stelleri) population size and density on the Arctic Coastal Plain, Alaska, revealed using generalized additive models.",PloS one,1932-6203,,2026-01-23,2026-03-27,2026-04-30,63,34,97,https://pubmed.ncbi.nlm.nih.gov/42060685/,2026-05-02
pubmed,42060683,10.1371/journal.pone.0348279,"Differential effects of caffeine, acute aerobic exercise, and placebo on mental fatigue.",PloS one,1932-6203,,2025-03-20,2026-04-14,2026-04-30,390,16,406,https://pubmed.ncbi.nlm.nih.gov/42060683/,2026-05-02
pubmed,42060682,10.1371/journal.pone.0347669,PriMAT: Robust multi-animal tracking of primates in the wild.,PloS one,1932-6203,,2025-09-16,2026-04-06,2026-04-30,202,24,226,https://pubmed.ncbi.nlm.nih.gov/42060682/,2026-05-02
pubmed,42060681,10.1371/journal.pone.0348135,Integrated cross-organ transcriptomic analysis uncovers conserved gene signatures predictive of allograft rejection.,PloS one,1932-6203,,2025-11-29,2026-04-12,2026-04-30,134,18,152,https://pubmed.ncbi.nlm.nih.gov/42060681/,2026-05-02
pubmed,42060680,10.1371/journal.pone.0338282,International medical graduates' experiences of clinical competency assessment in postgraduate and licensing examinations: A scoping review.,PloS one,1932-6203,,2025-11-20,2026-04-14,2026-04-30,145,16,161,https://pubmed.ncbi.nlm.nih.gov/42060680/,2026-05-02
pubmed,42060676,10.1371/journal.pone.0348200,A digestive cartridge reduces intestinal injury in a murine model of necrotizing enterocolitis.,PloS one,1932-6203,,2026-01-02,2026-04-13,2026-04-30,101,17,118,https://pubmed.ncbi.nlm.nih.gov/42060676/,2026-05-02
pubmed,42060670,10.1371/journal.pone.0347866,Enhancing the forecast accuracy of the daily number of patients arrivals in emergency department by hybrid ARIMAX-ANN algorithm.,PloS one,1932-6203,,2025-07-29,2026-04-08,2026-04-30,253,22,275,https://pubmed.ncbi.nlm.nih.gov/42060670/,2026-05-02
pubmed,42060668,10.1371/journal.pone.0347606,Genomic and structural analysis of the endocannabinoid system in Moroccans: A novel CNR1 variant (V392A) impairs CB1 receptor stability.,PloS one,1932-6203,,2025-11-11,2026-04-02,2026-04-30,142,28,170,https://pubmed.ncbi.nlm.nih.gov/42060668/,2026-05-02
pubmed,42060667,10.1371/journal.pone.0348132,"Epidemiology and trends of animal bites in Khoy County, Northwest Iran: A retrospective study (2021-2024).",PloS one,1932-6203,,2025-11-23,2026-04-11,2026-04-30,139,19,158,https://pubmed.ncbi.nlm.nih.gov/42060667/,2026-05-02
pubmed,42060665,10.1371/journal.pone.0340004,"Modeling and assessing Highly Pathogenic Avian Influenza (HPAI) spread, epidemiological control measures, and cost.",PloS one,1932-6203,,2025-06-11,2025-12-15,2026-04-30,187,136,323,https://pubmed.ncbi.nlm.nih.gov/42060665/,2026-05-02
pubmed,42060664,10.1371/journal.pone.0347540,Comparative Gene Co-expression Network Analysis of Proviral and Antiviral Responses to Dengue Virus-2 (DENV-2) and Zika Virus (ZIKV) Infection in Human Neural Progenitor Cells (hNPCs).,PloS one,1932-6203,,2025-10-27,2026-04-02,2026-04-30,157,28,185,https://pubmed.ncbi.nlm.nih.gov/42060664/,2026-05-02
pubmed,42060663,10.1371/journal.pone.0347687,Morphology of the light-organ system and bioluminescent blinking in the ponyfish tribe Equulitini (Teleostei: Leiognathidae).,PloS one,1932-6203,,2026-03-15,2026-04-05,2026-04-30,21,25,46,https://pubmed.ncbi.nlm.nih.gov/42060663/,2026-05-02
pubmed,42060662,10.1371/journal.pone.0348147,Enhanced convolutional block attention module with Learnable Gated Fusion (LGF-CBAM) for cocoa pod disease identification.,PloS one,1932-6203,,2025-08-27,2026-04-10,2026-04-30,226,20,246,https://pubmed.ncbi.nlm.nih.gov/42060662/,2026-05-02
pubmed,42060660,10.1371/journal.pone.0348232,"Mortality predictors, hepatic involvement patterns, and the steatotic liver paradox in 1,484 hospitalized Dengue patients.",PloS one,1932-6203,,2026-01-23,2026-04-13,2026-04-30,80,17,97,https://pubmed.ncbi.nlm.nih.gov/42060660/,2026-05-02
pubmed,42060659,10.1371/journal.pone.0336457,A novel and polarization insensitive triband absorber using a non-uniform design approach on a flexible material for X-band applications.,PloS one,1932-6203,,2025-10-25,2026-02-23,2026-04-30,121,66,187,https://pubmed.ncbi.nlm.nih.gov/42060659/,2026-05-02
pubmed,42060658,10.1371/journal.pone.0348260,"Ivermectin inhibits ER, HER2, and TGF-β pathways in ER-positive and endocrine-resistant breast cancer cells.",PloS one,1932-6203,,2026-01-19,2026-04-13,2026-04-30,84,17,101,https://pubmed.ncbi.nlm.nih.gov/42060658/,2026-05-02
pubmed,42060657,10.1371/journal.pone.0347574,The Korean Medicine HOme Medical care for the Elderly (K-HOME) registry: A study protocol for a multicenter registry on aging in place and functional recovery.,PloS one,1932-6203,,2025-12-28,2026-04-05,2026-04-30,98,25,123,https://pubmed.ncbi.nlm.nih.gov/42060657/,2026-05-02
pubmed,42060655,10.1371/journal.pone.0347567,Relationship between the stiffness of the medial gastrocnemius and spatiotemporal variables during 100-m sprint running in collegiate sprinters.,PloS one,1932-6203,,2025-10-29,2026-04-05,2026-04-30,158,25,183,https://pubmed.ncbi.nlm.nih.gov/42060655/,2026-05-02
pubmed,42060653,10.1371/journal.pone.0347839,Comparative analysis of Ligusticum chuanxiong from Gansu and Sichuan using the fingerprint technique and HS-SPME-GC-MS combined with chemometric analysis.,PloS one,1932-6203,,2024-10-15,2026-04-07,2026-04-30,539,23,562,https://pubmed.ncbi.nlm.nih.gov/42060653/,2026-05-02
pubmed,42060652,10.1371/journal.pone.0347107,Distribution of ESBL-producing and carbapenem-resistant E. coli and Salmonella spp. in retail chicken meat and live bird market sewage in Bangladesh.,PloS one,1932-6203,,2025-07-31,2026-03-29,2026-04-30,241,32,273,https://pubmed.ncbi.nlm.nih.gov/42060652/,2026-05-02
pubmed,42060651,10.1371/journal.pone.0348357,"Streptococcus didelphis infection in free-ranging white-eared opossum (Didelphis albiventris) and Brazilian common opossum (Didelphis aurita): pathology, microbiologic, and genomic characterization.",PloS one,1932-6203,,2026-02-20,2026-04-15,2026-04-30,54,15,69,https://pubmed.ncbi.nlm.nih.gov/42060651/,2026-05-02
pubmed,42060650,10.1371/journal.pone.0347646,Exploring the use of self-management strategies in survivors of critical illness: A scoping review protocol.,PloS one,1932-6203,,2025-11-29,2026-04-06,2026-04-30,128,24,152,https://pubmed.ncbi.nlm.nih.gov/42060650/,2026-05-02
pubmed,42060649,10.1371/journal.pone.0321671,Interpretable multivariate survival models: Improving predictions for conversion from mild cognitive impairment to Alzheimer's disease via data fusion and machine learning.,PloS one,1932-6203,,2025-03-08,2026-03-18,2026-04-30,375,43,418,https://pubmed.ncbi.nlm.nih.gov/42060649/,2026-05-02
